"","title.link","title.name","exclusive","cumulative_rank","Type","rating","AVG_Nmpaa_comp","AVG_Ngenre_comp","Holiday_distance","sequel"
"200","flixpatrol.com/title/all-american/","All American",0,6,0,7.6,30.5,36,0,1
"201","flixpatrol.com/title/legacies/","Legacies",0,2,0,7.3,25.5,102.5,1,1
"202","flixpatrol.com/title/barefoot-2017/","Barefoot",0,1,1,6.5,32,78,1,0
"203","flixpatrol.com/title/the-dark-knight-rises/","The Dark Knight Rises",0,2,1,8.4,28.5,78.5,0,0
"204","flixpatrol.com/title/the-umbrella-academy/","The Umbrella Academy",1,4,0,7.9,53.5,165.5,2,1
"205","flixpatrol.com/title/db-cooper-where-are-you/","D.B. Cooper: Where Are You?!",1,1,0,5.4,32,39,1,0
"206","flixpatrol.com/title/the-flash-2014/","The Flash",0,1,0,7.5,18,108,1,1
"207","flixpatrol.com/title/chips/","CHiPS",0,2,1,6.4,59,61.5,1,0
"208","flixpatrol.com/title/girl-in-the-picture/","Girl in the Picture",1,3,1,7.2,23,32,0,0
"209","flixpatrol.com/title/pan/","Pan",0,1,1,5.8,20,143,2,0
"210","flixpatrol.com/title/mean-girls/","Mean Girls",0,3,1,7.1,27.6666666666667,36,0,0
"211","flixpatrol.com/title/alba-2021/","Alba",1,1,0,6.4,20,35,2,0
"212","flixpatrol.com/title/the-sea-beast/","The Sea Beast",1,4,1,7,20,117.25,0,0
"213","flixpatrol.com/title/the-man-from-toronto/","The Man From Toronto",1,6,1,5.8,29.3333333333333,106.666666666667,2,0
"214","flixpatrol.com/title/persuasion-2022/","Persuasion",1,3,1,5.8,20,43.6666666666667,1,0
"215","flixpatrol.com/title/12-strong/","12 Strong",0,3,1,6.5,12.6666666666667,61.3333333333333,1,0
"216","flixpatrol.com/title/shania-twain-not-just-a-girl/","Shania Twain: Not Just a Girl",0,1,1,7,5,11,3,0
"217","flixpatrol.com/title/too-old-for-fairy-tales/","Too Old for Fairy Tales",1,1,1,6.2,5,52,3,0
"218","flixpatrol.com/title/resident-evil-2022/","Resident Evil",1,3,0,6.6,12.6666666666667,47.3333333333333,1,0
"219","flixpatrol.com/title/all-american-homecoming/","All American: Homecoming",0,3,0,6.2,29.3333333333333,35.3333333333333,1,0
"220","flixpatrol.com/title/the-age-of-adaline/","The Age of Adaline",0,1,1,7.2,29,68,4,0
"221","flixpatrol.com/title/men-in-black-3/","Men in Black 3",0,1,1,6.8,29,106,4,1
"222","flixpatrol.com/title/tower-heist/","Tower Heist",0,1,1,6.2,29,73,4,0
"223","flixpatrol.com/title/spider-man-2/","Spider-Man 2",0,1,1,7.4,50,70,4,1
"224","flixpatrol.com/title/uncoupled/","Uncoupled",1,1,0,7,25,84,4,0
"225","flixpatrol.com/title/alone-2015/","Alone",0,5,0,6.2,13.2,68.6,0,1
"226","flixpatrol.com/title/the-most-hated-man-on-the-internet/","The Most Hated Man on the Internet",1,2,0,6.8,25,19.5,3,0
"227","flixpatrol.com/title/flight/","Flight",0,1,1,7.3,37,57,5,0
"228","flixpatrol.com/title/the-nice-guys/","The Nice Guys",0,1,1,7.3,11,95,5,0
"229","flixpatrol.com/title/wedding-season/","Wedding Season",1,2,1,6.3,24,47,4,0
"230","flixpatrol.com/title/carter/","Carter",1,2,1,7.3,29,47.5,4,0
"231","flixpatrol.com/title/i-just-killed-my-dad/","I Just Killed My Dad",1,1,0,6.7,26,19,5,0
"232","flixpatrol.com/title/trainwreck-woodstock-99/","Trainwreck: Woodstock '99",0,2,0,7.4,25.5,6.5,4,0
"233","flixpatrol.com/title/indian-matchmaking/","Indian Matchmaking",1,1,0,6.2,29,19,5,1
"234","flixpatrol.com/title/keep-breathing/","Keep Breathing",1,3,0,5.3,25.3333333333333,82.3333333333333,3,0
"235","flixpatrol.com/title/purple-hearts/","Purple Hearts",1,4,1,6.7,29.75,47.75,3,0
"236","flixpatrol.com/title/the-informer/","The Informer",0,2,1,6.6,9,88.5,5,0
